"AAPL","VOXX","UEIC","IRBT","LPL","TXN","NVDA","INTC","QCOM","AMD","MU","TSM","TECH","ALXN","VRTX","REGN","NVAX","GOOGL","SSTK","FB","ZG","MTCH","ANGI","JNJ","PFE","AZN","BIIB","NVS","MRK","HZNP"
39.860565,5,46.299999,58.360001,10.8,93.369797,223.172302,47.969398,46.313686,10.88,45.98,34.373726,148.203201,117.629997,153.160004,303.679993,31.200001,1018.580017,39.063667,172,48.369999,44.532642,13.36,116.622879,31.016991,32.414379,273.600006,61.755562,53.891109,13.24
45.072868,5.6,29.65,62.41,10.27,103.017014,250.252655,51.296219,52.769093,13.73,57.59,34.597225,147.623795,116.129997,154,300.320007,32.599998,1100,43.930401,191.779999,58.240002,42.610054,15.06,110.288788,30.44088,33.782848,293.959991,60.008141,54.495289,16.299999
44.820538,5.4,33.049999,75.769997,8.24,102.099937,235.225494,46.461086,51.485588,14.99,52.439999,32.684101,145.607178,124.150002,169.960007,344.98999,26.799999,1129.189941,43.995296,194.320007,59.75,41.882217,15.38,112.704353,31.037464,32.031208,290.23999,60.829517,55.566341,16.559999
46.07476,5.25,34.950001,79.25,9.38,103.090858,243.129242,44.95631,58.797421,18.33,52.790001,38.188553,158.096237,132.960007,175.050003,368.01001,25.4,1227.219971,42.706772,172.580002,56.369999,40.443024,15.71,123.088692,34.160027,35.698692,334.369995,67.561508,60.765095,17.629999
55.115868,5.4,43.200001,113.5,9.47,104.66732,278.696014,45.26474,63.035896,25.17,52.52,40.403316,189.126923,122.239998,184.399994,406.75,31.200001,1231.800049,51.021935,175.729996,48.099998,54.162064,21.66,125.104248,35.520264,34.97797,353.48999,66.844826,63.274284,21.139999
54.849937,5.2,39.349998,109.919998,8.67,99.908875,279.186279,44.468044,66.081749,30.889999,45.23,40.922256,201.235657,139.009995,192.740005,404.040009,37.599998,1207.079956,53.644669,164.460007,44.200001,59.523338,23.48,129.191833,38.022812,36.518803,353.309998,69.381401,65.442169,19.58
53.178249,5.1,31.27,88.169998,7.34,86.443665,209.4543,44.082512,58.221889,18.209999,37.720001,35.306572,165.358109,112.07,169.460007,339.23999,35.200001,1090.579956,40.17944,151.789993,40.369999,53.994526,19.139999,130.8936,37.151402,35.789719,304.269989,70.428238,68.368568,18.209999
43.391079,5.02,34.48,95.400002,7.79,93.781471,162.363571,46.367504,53.935555,21.299999,38.560001,34.833965,159.146835,123.150002,180.789993,365.649994,41.400002,1109.650024,37.555199,140.610001,36.23,48.877693,17.530001,137.354538,39.886421,36.749523,333.720001,73.705658,73.690559,19.98
38.46114,3.96,25.280001,83.739998,8.19,88.75663,132.761597,44.407246,52.68576,18.459999,31.73,34.203819,142.938004,97.360001,165.710007,373.5,36.799999,1044.959961,35.392899,131.089996,31.43,50.272942,16.07,121.432854,37.951061,35.051399,300.920013,69.099564,70.9692,19.540001
40.582428,5.21,28.17,89.790001,8.46,94.561035,142.95488,44.587032,46.341995,24.41,38.220001,34.861763,172.311783,122.959999,190.910004,429.269989,46.799999,1125.890015,39.324348,166.690002,34.810001,60.331238,17,125.224991,36.907734,33.759361,333.779999,70.476555,69.614769,21.49
42.218506,5,33.389999,125.059998,9.45,100.111656,153.406769,50.113102,49.963631,23.530001,40.880001,36.186913,191.512436,135.330002,188.75,430.73999,14.2,1126.550049,45.536049,161.449997,41.43,60.836666,16.42,128.574844,38.019394,38.373814,328.01001,73.464081,76.030983,29.01
46.513416,4.62,37.150002,117.690002,8.65,100.386116,178.750839,51.13541,53.370022,25.52,41.330002,37.956871,196.437668,135.179993,183.949997,410.619995,11,1176.890015,45.830902,166.690002,34.200001,59.997143,15.44,132.411301,37.247612,38.167862,236.380005,77.417915,77.78936,26.43
49.138439,4.36,38.049999,103.540001,8.35,111.515938,180.184357,48.60244,81.539734,27.629999,42.060001,40.607182,202.413391,136.130005,168.979996,343.140015,10.6,1198.959961,39.756809,193.399994,33.209999,64.203316,17.379999,133.746872,35.616325,35.552849,229.240005,76.2892,74.117455,25.530001
42.869724,3.57,39.389999,87.110001,7.09,98.720428,134.849594,41.936749,63.258858,27.41,32.610001,35.538235,195.942978,113.68,166.179993,301.720001,5.68,1106.5,37.407768,177.470001,42.330002,63.063965,14.42,124.227379,36.414433,35.288517,219.289993,79.452835,74.588272,23.83
48.65168,4.16,41.02,91.639999,7.75,109.327141,163.676529,45.862999,72.015892,30.370001,38.59,36.298111,206.599304,130.979996,183.380005,313,5.86,1082.800049,38.518398,193,45.759998,62.115932,13.01,132.830963,38.330063,38.970303,233.869995,84.713203,78.95755,24.059999
52.368397,4.69,42.82,73.099998,6.03,119.091904,168.151382,48.430641,69.894051,30.450001,44.889999,40.788902,208.244247,113.290001,166.619995,304.76001,4.31,1218.199951,37.712452,194.229996,49.84,68.260994,13.85,124.190453,34.3661,40.981125,237.820007,84.963699,78.669662,24.889999
