"","Date","^GSPC","AAPL","AMZN","BA","COST","CVX","DIS","ELY","FL","GILD","GS","HD","JCP","LMT","M","MMM","PG","S","SBUX","SHOO","SMRT","TM","YUM","K","C","XOM","IBM","F","CAT","MCD","COKE"
"41","2018-06-01",2718.370117,180.671844,1699.800049,322.91983,205.51207,117.798531,101.928246,18.898611,49.026134,65.973221,213.228806,186.586578,2.34,282.353363,32.148785,186.073441,73.65081,5.44,47.1441,34.238564,2.45,125.319778,75.948967,65.490608,63.797417,76.263695,128.877151,9.716012,128.21138,149.228714,133.915085
"42","2018-07-01",2816.290039,185.727646,1777.439941,342.929688,215.080597,117.649445,110.43766,19.167597,45.450436,73.067223,229.527634,188.90097,2.45,311.665802,34.463329,200.829193,76.311508,5.43,50.560478,34.977959,2.21,128.26767,76.9879,66.577888,68.535522,75.139053,133.701981,8.811993,135.89444,150.991287,143.815231
"43","2018-08-01",2901.52002,222.172409,2012.709961,329.926666,229.261307,110.372643,109.815689,22.724159,46.208527,71.095718,229.895004,192.009109,1.77,306.227631,31.704878,199.504944,78.975082,6.11,51.583458,37.631233,2.33,120.717949,84.367226,67.290268,67.915848,73.903778,135.131882,8.437457,132.021118,155.486343,168.340042
"44","2018-09-01",2913.97998,221.100433,2003,359.712952,231.555664,115.024162,114.638885,24.209469,47.783173,72.485153,217.494553,199.126221,1.66,332.714264,30.126137,200.642227,79.241684,6.54,55.236973,34.233749,2.35,120.980629,88.649551,66.147476,68.823616,79.18309,141.002533,8.23275,144.99028,161.336945,180.968536
"45","2018-10-01",2711.73999,214.361847,1598.01001,343.231323,225.394119,105.024925,112.570404,21.329048,44.183975,64.504799,218.59053,169.067459,1.47,282.599396,30.056259,181.169327,84.430511,6.12,56.626644,30.46303,1.87,115.501472,88.161995,61.858562,62.798916,74.209702,107.637856,8.499761,115.353264,170.60495,171.387955
"46","2018-11-01",2760.169922,174.909714,1690.170044,335.396851,228.006622,111.882347,113.217415,17.073202,53.235615,68.062134,184.953766,173.335464,1.43,288.92746,29.994902,197.985519,90.776466,6.28,64.838333,31.398254,1.36,119.872864,89.926987,60.129772,62.156151,74.042061,115.881104,8.525608,129.819626,181.801819,211.30365
"47","2018-12-01",2506.850098,155.037109,1501.969971,313.372223,201.304199,103.334755,107.49234,15.256837,50.215157,59.178284,162.68103,166.152695,1.04,253.660263,26.103102,182.674973,88.288788,5.82,62.919781,29.479095,1.07,114.544304,90.006744,54.338097,50.287411,64.152336,107.346657,6.93102,121.590485,172.307236,176.364761
"48","2019-01-01",2704.100098,163.587997,1718.72998,374.705688,212.095215,108.900902,110.173546,16.244045,52.75423,66.794914,192.831314,177.476425,1.32,280.640228,23.326069,192.032104,92.659035,6.24,66.573822,31.959293,1.12,121.540497,92.02388,56.244366,62.265198,68.940933,126.94236,7.972937,127.417877,173.481369,214.564865
"49","2019-02-01",2784.48999,170.183029,1639.829956,427.507721,216.156693,113.583702,111.477608,17.161448,56.526279,62.034061,191.555557,179.03334,1.52,299.744171,21.986814,198.829468,95.405746,6.35,68.645103,32.292107,1.13,119.438683,92.533051,53.623249,61.801544,74.350464,130.445984,8.084186,132.263077,178.391403,246.729874
"50","2019-03-01",2834.399902,187.495865,1780.75,372.486572,239.92662,118.179337,109.689461,15.895289,57.551952,62.024525,187.723816,185.560699,1.49,292.878021,21.312752,200.580582,100.73027,5.65,73.010368,33.124123,0.99,116.458633,98.170929,54.690762,60.523991,76.859604,134.803314,8.093403,130.481461,185.444977,286.517609
"51","2019-04-01",2945.830078,198.077362,1926.52002,368.843903,243.285645,115.185989,135.316269,17.521734,54.332462,62.653477,201.344254,198.447952,1.37,325.243256,21.211525,182.943649,103.082748,5.58,76.290642,35.734627,0.92,121.964813,102.67572,58.045788,68.772835,76.36496,134.010345,9.803402,134.266159,192.935074,323.548035
"52","2019-05-01",2752.060059,172.808105,1775.069946,333.608948,237.39003,109.228096,130.445786,14.667967,37.595516,59.965847,178.434921,184.955063,0.85,330.326874,18.535301,154.214798,100.329865,6.87,74.699608,29.747723,0.79,116.02446,100.669212,50.595135,60.455902,67.318733,121.322968,9.074224,116.08046,193.618637,300.867767
"53","2019-06-01",2941.76001,196.115219,1893.630005,357.526581,262.551575,120.56282,137.954025,17.133554,40.050926,65.081001,200.955261,202.607849,1.14,357.017273,19.337265,168.76564,106.900871,6.57,82.712578,33.375259,0.86,122.349655,109.308578,52.127789,68.559593,73.728493,133.31105,9.750978,132.047455,203.975922,298.118164
"54","2019-07-01",2980.379883,211.097366,1866.780029,335.10321,273.848083,119.274254,141.28334,18.311737,39.229279,63.716965,216.208618,209.640625,0.8,355.671844,20.848558,170.109238,115.080521,7.33,93.427818,34.069309,0.81,127.342712,111.135818,56.652596,69.665863,71.544441,143.306976,9.083755,127.571281,206.981628,292.4198
"55","2019-08-01",2926.459961,206.836563,1776.290039,357.605164,292.854401,114.052185,136.442535,17.73263,34.893238,61.791454,200.277557,223.591141,0.74,377.21814,13.538265,157.452301,117.974602,6.79,95.272896,32.795788,0.69,128.90181,115.343414,61.109295,62.998848,65.887085,131.019928,8.871069,116.182831,214.103012,335.625916
"56","2019-09-01",2976.73999,222.770889,1735.910034,376.025269,286.880554,116.085976,129.543869,19.390387,41.613491,61.635857,204.815826,227.623276,0.89,385.266205,14.253701,161.526199,122.046753,6.17,87.57206,35.332966,0.8,132.710754,112.440338,63.18964,68.137955,68.781151,142.237228,8.861395,123.319771,212.016006,302.981628
"57","2019-10-01",3037.560059,247.428162,1776.660034,335.939117,295.842163,115.087601,129.146255,20.199566,42.539097,62.535469,210.894196,230.859039,1,372.050629,14.20616,162.105896,122.174316,6.21,83.749084,35.620152,0.8,138.149994,100.822586,62.384426,70.880043,65.819885,130.803085,8.319652,134.537766,194.231979,273.557892
"58","2019-11-01",3140.97998,265.819183,1800.800049,361.902222,299.17923,114.647133,150.677261,20.759003,38.951176,66.000389,218.771347,217.65242,1.13,386.224274,14.356092,166.802338,120.535347,5.92,84.610741,42.092041,0.72,140.210007,99.791664,63.945763,74.095596,66.365379,131.507324,8.908496,142.414383,192.039841,269.618713
"59","2019-12-01",3230.780029,292.954712,1847.839966,323.833313,293.301636,119.11776,143.768646,21.178577,37.920258,63.782055,228.532684,215.550034,1.12,386.950165,15.930389,174.836746,123.339874,5.21,87.512138,42.627232,0.67,140.539993,100.280571,68.508087,79.363792,68.792389,132.654785,9.144482,145.317184,196.381088,283.480896
